,id,palabra_clave,cant_likes
60,Cy3arX-sChz,MILEI,443
61,Cy0_7sTMLCj,MILEI,3698
62,Cy1vTikpyO-,MILEI,1078
63,Cy1uLyTr8ck,MILEI,809
64,Cy52KREC8Q4,MILEI,1170
65,CytexNExjsX,MILEI,4001
66,CymbCmQua1t,MILEI,4809
67,Cyjo8dZrjO2,MILEI,3826
68,CyjniOmu4Nd,MILEI,474
69,CyjNY8tuEeu,MILEI,2122
70,CyeRRjXx5-T,MILEI,2931
71,CyyjeEWMV4H,MILEI,9259
72,CyyE-p4LJaa,MILEI,14414
73,CywRUTsO2U8,MILEI,17703
74,CywJM58sty3,MILEI,13698
75,CyutCQFMP2-,MILEI,14548
76,Cyt4jtPpJrE,MILEI,11168
77,CyoD6dZLZUa,MILEI,50246
78,CynWQZus6YV,MILEI,14059
79,CymmM_mtWUE,MILEI,2355
80,CymD4D1Bmsh,MILEI,40525
81,Cylod0SiU3v,MILEI,9419
82,CykOLjyMktZ,MILEI,6799
83,CyvV7yTga7O,MILEI,22497
84,CyyLtvpsIjq,MILEI,20038
85,CyTA6EFOlQ1,MILEI,21726
86,CyKPkmVuUtl,MILEI,1546
87,CyKMqEzOCYg,MILEI,630
88,CyKR4Leu6Iy,MILEI,5420
89,CyKRfC_ut2k,MILEI,4866
90,CyKMIjquK2e,MILEI,6237
91,CyuaFKwqzAT,MILEI,2309
92,CyuYrZjNHwp,MILEI,9209
93,Cy4tFKTixEJ,MILEI,9647
94,Cy35tpYNY08,MILEI,26720
95,Cy1ZMLoPocR,MILEI,25084
96,Cy2BFt6gJCa,MILEI,155128
97,Cy0-9bLyJkb,MILEI,16016
98,Czkn8_MM8b5,MILEI,204
99,CzkjjVlsJfm,MILEI,490
100,CzkhjEmsSUP,MILEI,597
101,CzkbXp3MiIb,MILEI,815
102,CzcaFLVMp-L,MILEI,2777
103,CzcG0tTvdxw,MILEI,937
104,CzlxLikMrpc,MILEI,18509
105,CzkUOg_pSJd,MILEI,8736
106,CzWxPL9LlJD,MILEI,4928
107,CzUaIU0IUgG,MILEI,2845
108,CzUfayVpL9h,MILEI,3735
109,CzRukQNLL6f,MILEI,3996
110,CzJyb1FMLOY,MILEI,7313
111,CzgQ7-xCwMJ,MILEI,7177
112,Czbs43zCutI,MILEI,34282
113,CzcgmpZtcYc,MILEI,2375
114,CzWqcmMB2Cd,MILEI,34729
115,CzWgF0Wukhy,MILEI,1713
116,CzR8QzOs3An,MILEI,15710
117,CzRTHUDLXQz,MILEI,5745
118,CzO1ILMhyNF,MILEI,5075
119,CzOgSqHuzAf,MILEI,33443
120,CzcGMCNPf2l,MILEI,25501
121,CzbeObBA98X,MILEI,1824
122,CzYzRDDqkLq,MILEI,6210
123,CzWzxP3Be3w,MILEI,4684
124,CzUOp1gOYbO,MILEI,1066
125,CzTuIzEoVfL,MILEI,3004
126,CzXevBKp9T6,MILEI,507
127,CzSHlcEt0vY,MILEI,1301
128,CzMe0oCht5D,MILEI,1517
129,CyceQvxtyhY,MILEI,130
130,CyZp9DpNrei,MILEI,4279
131,CzMXtabur-b,MILEI,129
132,CzAOXHpuenT,MILEI,1287
133,CzUaMlgPCUP,MILEI,4154
134,CzUTau5L0ew,MILEI,2032
135,Cy18Gd-OLPg,MILEI,3748
136,Cywj2jQsP73,MILEI,1202
137,Cy1dUdGxGNL,MILEI,5258
138,Cyuh97buMJE,MILEI,761
139,Cyy-D09RHWC,MILEI,2248
140,CzRI72XhH3r,MILEI,16259
141,CzKHBGCvQML,MILEI,11209
142,CzH2134JDHL,MILEI,17593
143,CzHBa5rsCSu,MILEI,26000
144,CzHD68IrgNp,MILEI,737
145,CzHAfTMsROd,MILEI,13010
