a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
5.0,0.0,3.0,1.0,0.0,3.0,5.0,3.0,1.0,6.0,5.0,1.0,7.0,4.0,28.0,0.0,1657.67,1894.4,10817.33,1423.0,4566.17,2331.4,6010.0,6771.57,739.75,0.0,0.0,0.0,0.0,0.0,0.0043010752688172225
2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,615.0,2.0,2.0,17322.0,1152.5,517.0,0.0,1423.0,3565.67,1203.0,0.0,12800.5,782.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0039767513000918495
7.0,4.0,7.0,0.0,1.0,7.0,11.0,10.0,4.0,16.0,10.0,3.0,10.0,11.0,6285.71,0.0,17322.0,2555.29,3636.18,4471.0,1059.25,5301.12,2045.3,5987.0,7813.4,1228.55,0.0,0.0,0.0,0.0,0.0033516148689823103
9.0,5.0,7.0,0.0,1.0,7.0,11.0,13.0,3.0,16.0,8.0,3.0,11.0,12.0,5894.14,0.0,17322.0,3321.14,4242.36,4462.0,938.0,5638.25,2236.12,5987.0,7219.82,1206.67,0.0,0.0,0.0,0.0,0.0030367446097783607
12.0,6.0,9.0,0.0,1.0,13.0,20.0,23.0,6.0,24.0,15.0,6.0,18.0,13.0,5335.44,0.0,17322.0,3346.15,4371.3,5678.3,809.5,4773.62,2282.8,6063.17,6260.44,1166.92,0.0,0.0,0.0,0.0,0.0021192854980321006
5.0,3.0,5.0,0.0,0.0,3.0,7.0,9.0,2.0,12.0,4.0,2.0,6.0,5.0,0.0,0.0,3689.0,4343.57,4677.22,568.5,5388.25,2601.75,4922.5,7244.5,1602.4,0.0,0.0,0.0,0.0,0.0,0.002719033232628287
18.0,5.0,5.0,1.0,5.0,12.0,19.0,15.0,4.0,20.0,12.0,7.0,11.0,6.0,1302.4,6103.4,26.0,41591.4,2285.83,3899.0,6422.07,604.5,2600.3,2211.58,7658.29,4238.91,618.83,0.0,0.0,0.0,0.00030129557095526113
7.0,1.0,1.0,0.0,5.0,8.0,5.0,11.0,4.0,11.0,5.0,3.0,8.0,2.0,2526.0,0.0,41591.4,2002.75,5534.4,6857.73,604.25,2662.45,1650.6,7473.67,4328.62,559.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,0.0,4.0,1.0,5.0,10.0,2.0,8.0,5.0,2.0,6.0,2.0,2526.0,0.0,42357.25,2326.0,5534.4,5835.7,303.0,2822.75,1650.6,8825.0,3980.83,559.0,0.0,0.0,0.0,0.0,-0.0009036144578313595
4.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,8.0,4.0,2.0,6.0,1.0,41591.4,1040.75,0.0,2840.0,411.5,1985.5,1252.5,10321.0,3552.33,428.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015073861923426066
5.0,2.0,3.0,1.0,0.0,2.0,9.0,4.0,0.0,9.0,2.0,2.0,2.0,2.0,26.0,0.0,1156.5,3110.22,5224.0,0.0,2454.67,3309.5,2952.5,3757.5,676.5,0.0,0.0,0.0,0.0,0.0,-0.002113526570048318
9.0,2.0,1.0,0.0,0.0,2.0,6.0,3.0,1.0,4.0,6.0,4.0,5.0,4.0,0.0,0.0,7322.0,3408.0,7098.0,208.0,3043.0,2223.67,22810.75,4803.4,510.5,0.0,0.0,0.0,0.0,0.0,-0.006051437216338752
9.0,2.0,1.0,0.0,0.0,3.0,7.0,4.0,1.0,6.0,7.0,4.0,8.0,4.0,0.0,0.0,6501.67,3373.71,6688.0,208.0,2818.0,2792.14,22810.75,5176.0,510.5,0.0,0.0,0.0,0.0,0.0,-0.0036529680365298186
2.0,1.0,1.0,0.0,0.0,0.0,1.0,729.0,3206.0,11366.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1095.0,14642.5,2921.5,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003971891231286143
5.0,1.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,5.0,4.0,4.0,4.0,0.0,10466.0,3385.2,7098.0,208.0,0.0,1695.2,22810.75,4465.25,510.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.004601226993864987
7.0,2.0,4.0,1.0,0.0,4.0,9.0,5.0,2.0,4.0,7.0,4.0,8.0,5.0,6546.5,28.0,0.0,5109.75,3367.11,9030.4,156.0,3608.5,2169.43,22810.75,4614.88,548.8,0.0,0.0,0.0,0.0,-0.004930662557781316
1.0,1.0,3.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,2.0,479.0,2.0,1.0,0.0,2391.0,2784.33,8846.0,104.0,4849.0,997.0,0.0,3385.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005264787860018634
