La Libertad Avanza,Union por la Patria,Fuente,fecha_mediana,La Libertad Avanza_Encuestas,Union por la Patria_Encuestas,dia,mes
11944.0,12477.0,3,2023-10-30,45.4164250867817,43.9906182568722,30,10
976.0,0.0,4,2023-10-30,45.4164250867817,43.9906182568722,30,10
0.0,0.0,5,2023-10-30,45.4164250867817,43.9906182568722,30,10
7501.5,7207.0,6,2023-10-30,45.4164250867817,43.9906182568722,30,10
6731.0,6327.5,7,2023-10-30,45.4164250867817,43.9906182568722,30,10
8276.0,7933.0,8,2023-10-30,45.4164250867817,43.9906182568722,30,10
2644.5,2957.0,9,2023-10-30,45.4164250867817,43.9906182568722,30,10
4445.0,11135.0,10,2023-10-30,45.4164250867817,43.9906182568722,30,10
6315.0,4438.0,11,2023-10-30,45.4164250867817,43.9906182568722,30,10
16523.5,9836.5,12,2023-10-30,45.4164250867817,43.9906182568722,30,10
7865.0,5580.0,13,2023-10-30,45.4164250867817,43.9906182568722,30,10
1624.0,1684.0,14,2023-10-30,45.4164250867817,43.9906182568722,30,10
0.0,0.0,15,2023-10-30,45.4164250867817,43.9906182568722,30,10
0.0,0.0,1,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,3046.0,2,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,0.0,3,2023-10-28,46.14711355036484,44.04676329862095,28,10
976.0,0.0,4,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,0.0,5,2023-10-28,46.14711355036484,44.04676329862095,28,10
5379.0,0.0,6,2023-10-28,46.14711355036484,44.04676329862095,28,10
8413.0,8413.0,7,2023-10-28,46.14711355036484,44.04676329862095,28,10
11030.0,8283.0,8,2023-10-28,46.14711355036484,44.04676329862095,28,10
2957.0,2957.0,9,2023-10-28,46.14711355036484,44.04676329862095,28,10
2417.5,18380.5,10,2023-10-28,46.14711355036484,44.04676329862095,28,10
5317.0,7772.0,11,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,0.0,12,2023-10-28,46.14711355036484,44.04676329862095,28,10
11603.5,0.0,13,2023-10-28,46.14711355036484,44.04676329862095,28,10
1383.5,3831.0,14,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,0.0,15,2023-10-28,46.14711355036484,44.04676329862095,28,10
0.0,5278.0,1,2023-11-02,46.65073239024522,44.04546459732223,2,11
0.0,1273.0,2,2023-11-02,46.65073239024522,44.04546459732223,2,11
14188.0,14188.0,3,2023-11-02,46.65073239024522,44.04546459732223,2,11
0.0,0.0,4,2023-11-02,46.65073239024522,44.04546459732223,2,11
0.0,0.0,5,2023-11-02,46.65073239024522,44.04546459732223,2,11
4198.0,4519.0,6,2023-11-02,46.65073239024522,44.04546459732223,2,11
5858.0,5846.0,7,2023-11-02,46.65073239024522,44.04546459732223,2,11
11053.0,9344.5,8,2023-11-02,46.65073239024522,44.04546459732223,2,11
1588.0,1438.0,9,2023-11-02,46.65073239024522,44.04546459732223,2,11
5420.0,14041.5,10,2023-11-02,46.65073239024522,44.04546459732223,2,11
4466.5,2800.5,11,2023-11-02,46.65073239024522,44.04546459732223,2,11
20397.0,18472.0,12,2023-11-02,46.65073239024522,44.04546459732223,2,11
7865.0,8002.0,13,2023-11-02,46.65073239024522,44.04546459732223,2,11
1136.5,4841.0,14,2023-11-02,46.65073239024522,44.04546459732223,2,11
0.0,0.0,15,2023-11-02,46.65073239024522,44.04546459732223,2,11
1301.0,888.5,1,2023-11-03,46.97786131996695,44.00850656051898,3,11
0.0,1588.0,2,2023-11-03,46.97786131996695,44.00850656051898,3,11
13010.0,14188.0,3,2023-11-03,46.97786131996695,44.00850656051898,3,11
989.5,158.0,4,2023-11-03,46.97786131996695,44.00850656051898,3,11
0.0,0.0,5,2023-11-03,46.97786131996695,44.00850656051898,3,11
5433.5,7051.0,6,2023-11-03,46.97786131996695,44.00850656051898,3,11
7172.5,8024.5,7,2023-11-03,46.97786131996695,44.00850656051898,3,11
7787.0,7282.0,8,2023-11-03,46.97786131996695,44.00850656051898,3,11
844.0,1057.0,9,2023-11-03,46.97786131996695,44.00850656051898,3,11
4242.0,12856.0,10,2023-11-03,46.97786131996695,44.00850656051898,3,11
4085.5,3912.0,11,2023-11-03,46.97786131996695,44.00850656051898,3,11
20397.0,18472.0,12,2023-11-03,46.97786131996695,44.00850656051898,3,11
7654.0,8002.0,13,2023-11-03,46.97786131996695,44.00850656051898,3,11
