La Libertad Avanza,Union por la Patria,Inicio,Final
22.0,28.1,2023-04-11,2023-04-16
18.0,28.5,2023-04-11,2023-04-16
26.5,23.7,2023-04-07,2023-04-15
24.9,30.0,2023-04-07,2023-04-15
16.6,22.8,2023-04-07,2023-04-15
23.0,27.0,2023-04-05,2023-04-15
25.0,26.0,2023-04-10,2023-04-14
27.0,25.0,2023-04-10,2023-04-14
26.7,27.6,2023-04-02,2023-04-14
24.3,26.5,2023-02-27,2023-04-13
23.9,28.7,2023-02-27,2023-04-13
23.7,30.7,2023-02-27,2023-04-13
24.3,21.4,2023-04-05,2023-04-09
19.3,27.7,2023-04-02,2023-04-04
19.1,30.0,2023-04-02,2023-04-04
15.2,25.2,2023-03-27,2023-03-29
23.0,27.0,2023-03-01,2023-03-01
23.0,35.0,2023-03-01,2023-03-01
18.5,27.5,2023-03-13,2023-03-18
14.6,23.4,2023-03-08,2023-03-16
20.6,33.0,2023-02-01,2023-02-01
20.4,23.6,2023-02-14,2023-02-28
24.0,27.0,2023-02-18,2023-02-27
22.0,28.0,2023-02-18,2023-02-27
18.0,27.0,2023-02-12,2023-02-17
18.0,29.9,2023-02-10,2023-02-16
24.0,24.0,2023-02-05,2023-02-07
19.0,26.0,2023-02-02,2023-02-05
24.0,24.0,2023-01-23,2023-02-03
23.2,30.3,2023-01-16,2023-01-22
22.3,25.4,2023-01-19,2023-01-19
18.8,29.8,2023-01-19,2023-01-19
19.5,29.1,2023-01-11,2023-01-17
18.1,29.3,2023-01-11,2023-01-17
20.3,26.9,2023-01-15,2023-01-16
22.4,25.6,2023-01-15,2023-01-16
21.3,29.5,2023-01-06,2023-01-11
22.0,25.0,2022-12-25,2023-01-06
18.3,24.8,2022-12-26,2023-01-03
17.2,23.5,2022-12-26,2023-01-03
