,Fecha,Encuestadora,Muestra,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Otros,Blanco,Indecisos,Ventaja,Inicio,Final
74,1-6 de julio de 2023,Zuban Córdoba & Asociados[62]​,1280,27.1,29.7,24.5,3.5,2.3,1.3,3.1,8.6,2.6,2023-07-01,2023-07-06
75,1 - 5 de julio de 2023,Clivajes Consultores[63]​,1570,30.5,33.9,18.4,2.6,3.4,4.1,7.1,0.0,3.4,2023-07-01,2023-07-05
76,27 de junio - 2 de julio de 2023,Giacobbe & Asociados[64]​[65]​[66]​,2500,28.2,19.8,28.3,1.9,2.5,0.0,8.1,9.9,0.1,2023-06-27,2023-07-02
77,27 de junio - 2 de julio de 2023,Giacobbe & Asociados[64]​[65]​[66]​,2500,28.5,33.2,22.3,1.0,1.0,2.3,2.0,9.3,4.7,2023-06-27,2023-07-02
78,27 de junio - 2 de julio de 2023,Giacobbe & Asociados[64]​[65]​[66]​,2500,28.5,32.3,21.9,0.6,1.7,3.8,2.2,9.0,3.8,2023-06-27,2023-07-02
79,Junio de 2023,Marketing & Estadística[67]​,0,30.0,38.0,20.0,2.0,1.0,1.0,3.0,5.0,8.0,2023-06-01,2023-06-01
80,28 - 30 de junio de 2023,Analogías[68]​,2569,32.3,32.8,17.8,2.1,1.2,0.0,0.0,12.7,0.5,2023-06-28,2023-06-30
81,27 - 30 de junio de 2023,Observatorio Electoral Consultores[69]​,1680,28.0,40.0,15.0,2.0,2.0,5.0,0.0,8.0,12.0,2023-06-27,2023-06-30
82,26 - 29 de junio de 2023,Opinaia[70]​,1300,24.0,32.0,19.0,3.0,3.0,5.0,4.0,10.0,8.0,2023-06-26,2023-06-29
83,28 de junio de 2023,Proyección Consultores[71]​,0,32.8,34.7,18.8,0.9,1.7,1.4,3.1,6.6,1.9,2023-06-28,2023-06-28
84,26 - 28 de junio de 2023,Inteligencia Analítica[72]​,5285,29.5,28.1,25.8,3.2,2.5,3.9,3.0,4.0,1.4,2023-06-26,2023-06-28
85,26 - 28 de junio de 2023,Inteligencia Analítica[72]​,5285,28.5,32.2,22.1,3.6,3.2,3.9,2.3,4.2,3.7,2023-06-26,2023-06-28
86,26 - 28 de junio de 2023,Inteligencia Analítica[72]​,5285,29.8,34.3,19.6,2.5,2.2,3.4,3.0,5.2,4.5,2023-06-26,2023-06-28
87,25 - 27 de junio de 2023,CB Consultora[73]​,2856,29.1,33.8,17.2,3.3,1.6,3.6,4.9,6.5,4.7,2023-06-25,2023-06-27
88,16 de junio de 2023,Proyección Consultores[74]​,0,31.2,33.1,18.9,0.0,1.7,0.0,3.5,11.6,1.9,2023-06-16,2023-06-16
89,8 - 14 de junio de 2023,Opinaia[75]​,2000,22.0,29.0,21.0,6.0,1.0,0.0,8.0,12.0,7.0,2023-06-08,2023-06-14
90,5 - 12 de junio de 2023,Synopsis[76]​,1663,25.0,29.0,20.0,6.0,5.0,0.0,0.0,15.0,4.0,2023-06-05,2023-06-12
91,26 de mayo - 9 de junio de 2023,Taquion[77]​,2520,28.2,37.1,24.3,6.7,3.7,0.0,0.0,0.0,8.9,2023-05-26,2023-06-09
92,26 de mayo - 9 de junio de 2023,Taquion[77]​,2520,20.7,27.3,17.9,4.9,2.7,0.0,8.9,17.5,6.4,2023-05-26,2023-06-09
93,19 de mayo - 6 de junio de 2023,Management & Fit[78]​,1800,29.5,33.5,17.1,9.5,3.8,1.0,1.0,1.8,4.0,2023-05-19,2023-06-06
94,19 de mayo - 6 de junio de 2023,Management & Fit[78]​,1800,28.7,33.7,16.9,10.5,4.0,1.4,1.1,1.8,5.0,2023-05-19,2023-06-06
95,19 de mayo - 6 de junio de 2023,Management & Fit[78]​,1800,30.1,32.2,15.3,7.9,4.6,1.9,0.0,7.9,2.1,2023-05-19,2023-06-06
96,Junio de 2023,Fixer[79]​,0,27.0,35.0,18.0,3.0,2.0,0.0,1.0,12.0,8.0,2023-06-01,2023-06-01
97,2 - 5 de junio de 2023,Consultora Tendencias[80]​,2506,22.8,23.1,19.8,2.6,6.8,4.6,5.2,15.1,0.3,2023-06-02,2023-06-05
98,2 - 5 de junio de 2023,Aresco[81]​,4000,24.9,25.9,27.7,5.8,3.0,3.8,4.1,4.8,1.8,2023-06-02,2023-06-05
99,2 - 5 de junio de 2023,Aresco[81]​,4000,24.2,26.5,24.2,5.3,3.6,6.6,4.3,5.3,2.3,2023-06-02,2023-06-05
100,2 - 5 de junio de 2023,Aresco[81]​,4000,30.3,32.6,25.5,3.3,2.2,2.3,0.0,3.8,2.3,2023-06-02,2023-06-05
101,2 - 5 de junio de 2023,Aresco[81]​,4000,27.4,29.1,27.6,2.6,1.5,3.3,0.0,8.5,1.5,2023-06-02,2023-06-05
102,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,31.3,29.3,23.3,4.0,3.1,0.0,0.0,9.0,2.0,2023-05-26,2023-06-01
103,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,29.0,27.2,24.6,4.9,3.3,0.0,0.0,11.1,1.8,2023-05-26,2023-06-01
104,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,22.8,28.2,24.3,5.3,3.5,0.0,0.0,15.8,3.9,2023-05-26,2023-06-01
105,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,20.7,27.9,24.6,5.6,3.7,0.0,0.0,17.5,3.3,2023-05-26,2023-06-01
106,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,26.0,28.1,23.7,5.1,3.7,0.0,0.0,13.4,2.1,2023-05-26,2023-06-01
107,26 de mayo - 1 de junio de 2023,Zuban Córdoba & Asociados[82]​,1300,28.3,28.5,23.7,4.1,3.5,0.0,0.0,12.0,2.1,2023-05-26,2023-06-01
108,28 - 31 de mayo de 2023,Analogías[83]​[84]​[85]​,2605,27.5,26.8,21.2,0.0,2.7,0.0,3.6,18.2,0.7,2023-05-28,2023-05-31
109,20 - 28 de mayo de 2023,Opina Argentina[86]​,1400,29.0,29.0,26.0,4.0,4.0,1.0,3.0,4.0,0.0,2023-05-20,2023-05-28
110,20 - 28 de mayo de 2023,Opina Argentina[86]​,1400,29.0,30.0,26.0,0.0,4.0,0.0,4.0,6.0,1.0,2023-05-20,2023-05-28
111,20 - 28 de mayo de 2023,Opina Argentina[86]​,1400,27.0,28.0,26.0,4.0,4.0,1.0,3.0,6.0,1.0,2023-05-20,2023-05-28
112,20 - 28 de mayo de 2023,Opina Argentina[86]​,1400,26.0,27.0,24.0,4.0,7.0,0.0,7.0,6.0,1.0,2023-05-20,2023-05-28
113,20 - 28 de mayo de 2023,Opina Argentina[86]​,1400,24.0,26.0,24.0,4.0,7.0,0.0,6.0,9.0,2.0,2023-05-20,2023-05-28
114,19 - 26 de mayo de 2023,UdeSA[87]​[88]​,1000,22.5,29.5,16.8,2.7,3.3,0.0,0.0,15.5,7.0,2023-05-19,2023-05-26
115,19 - 26 de mayo de 2023,UdeSA[87]​[88]​,1000,16.0,21.0,14.0,3.0,4.0,3.0,4.0,25.0,5.0,2023-05-19,2023-05-26
116,18 - 24 de mayo de 2023,Giacobbe & Asociados[89]​,1000,25.8,27.9,27.6,2.0,2.5,0.0,3.8,10.4,0.3,2023-05-18,2023-05-24
117,14 - 22 de mayo de 2023,Opinaia[90]​,2000,20.0,27.0,26.0,6.0,3.0,0.0,4.0,14.0,1.0,2023-05-14,2023-05-22
118,Mayo de 2023,Clara Research[91]​[92]​,2641,22.4,19.9,25.5,3.3,2.0,0.0,10.7,16.2,3.1,2023-05-01,2023-05-01
119,9 - 20 de mayo de 2023,Opina Argentina[93]​,1402,26.0,24.0,24.0,5.0,4.0,2.0,4.0,11.0,2.0,2023-05-09,2023-05-20
120,9 - 20 de mayo de 2023,Opina Argentina[93]​,1402,27.0,27.0,26.0,4.0,3.0,2.0,3.0,8.0,0.0,2023-05-09,2023-05-20
121,9 - 20 de mayo de 2023,Opina Argentina[93]​,1402,26.0,27.0,26.0,4.0,4.0,2.0,3.0,8.0,1.0,2023-05-09,2023-05-20
122,12 - 19 de mayo de 2023,Federico González & Asociados[94]​[95]​,2400,25.2,23.1,27.9,2.4,3.3,3.3,3.9,10.5,2.7,2023-05-12,2023-05-19
123,12 - 19 de mayo de 2023,Federico González & Asociados[94]​[95]​,2400,25.2,32.5,24.1,2.3,3.3,3.0,2.3,7.3,7.3,2023-05-12,2023-05-19
124,12 - 19 de mayo de 2023,Federico González & Asociados[94]​[95]​,2400,25.9,33.5,24.1,2.2,2.9,1.8,1.4,8.2,7.6,2023-05-12,2023-05-19
125,14 - 18 de mayo de 2023,CIGP[96]​,1212,22.8,23.9,20.8,5.7,0.0,4.7,9.1,13.1,1.1,2023-05-14,2023-05-18
126,8 - 13 de mayo de 2023,Taquion[97]​,2669,23.7,33.0,26.3,4.0,2.2,0.0,6.7,4.2,6.7,2023-05-08,2023-05-13
127,6 - 13 de mayo de 2023,Synopsis[98]​[99]​,1631,24.6,26.2,25.2,5.5,3.5,5.4,0.0,9.5,1.0,2023-05-06,2023-05-13
128,6 - 13 de mayo de 2023,Synopsis[98]​[99]​,1631,24.9,26.2,17.1,10.7,4.6,4.3,0.0,12.2,1.3,2023-05-06,2023-05-13
129,17 de abril - 7 de mayo de 2023,CELAG[100]​,2002,26.1,24.6,29.3,6.2,3.5,6.0,1.0,1.7,3.2,2023-04-17,2023-05-07
130,27 - 30 de abril de 2023,Fixer[101]​,1257,26.0,32.0,22.0,3.0,2.0,0.0,5.0,10.0,6.0,2023-04-27,2023-04-30
131,22 - 30 de abril de 2023,Opinaia[102]​,2000,23.0,27.0,26.0,2.0,2.0,0.0,0.0,15.0,1.0,2023-04-22,2023-04-30
132,11 - 16 de abril de 2023,Zuban Córdoba & Asociados[103]​[104]​,1300,26.6,20.4,26.0,5.6,2.7,0.0,0.0,18.7,0.6,2023-04-11,2023-04-16
133,11 - 16 de abril de 2023,Zuban Córdoba & Asociados[103]​[104]​,1300,28.1,24.0,22.0,5.7,2.4,0.0,0.0,17.8,4.1,2023-04-11,2023-04-16
134,11 - 16 de abril de 2023,Zuban Córdoba & Asociados[103]​[104]​,1300,28.5,23.5,18.0,4.7,2.8,7.5,0.0,14.9,5.0,2023-04-11,2023-04-16
135,7 - 15 de abril de 2023,Synopsis[105]​[106]​,1679,23.7,26.6,26.5,3.6,3.8,4.5,0.0,11.3,0.1,2023-04-07,2023-04-15
136,7 - 15 de abril de 2023,Synopsis[105]​[106]​,1679,30.0,29.8,24.9,2.2,2.4,3.7,0.0,7.1,0.2,2023-04-07,2023-04-15
137,7 - 15 de abril de 2023,Synopsis[105]​[106]​,1679,22.8,28.1,16.6,10.8,4.9,5.4,0.0,11.4,5.3,2023-04-07,2023-04-15
138,5 - 15 de abril de 2023,Opina Argentina[107]​,1402,27.0,27.0,23.0,5.0,3.0,4.0,0.0,7.0,0.0,2023-04-05,2023-04-15
139,10 - 14 de abril de 2023,IPD[108]​,1600,26.0,24.0,25.0,0.0,5.0,0.0,7.0,13.0,1.0,2023-04-10,2023-04-14
140,10 - 14 de abril de 2023,IPD[108]​,1600,25.0,28.0,27.0,0.0,0.0,5.0,4.0,11.0,1.0,2023-04-10,2023-04-14
141,2 - 14 de abril de 2023,Reale Dalla Torre[109]​,1600,27.6,31.5,26.7,2.7,3.8,0.0,0.0,8.7,3.9,2023-04-02,2023-04-14
142,2 - 14 de abril de 2023,Reale Dalla Torre[109]​,1600,20.9,23.3,20.6,0.0,4.9,2.3,0.0,28.0,2.4,2023-04-02,2023-04-14
143,27 de febrero - 13 de abril de 2023,Management & Fit[110]​,1500,26.5,27.6,24.3,6.8,4.5,3.2,7.2,3.0,1.1,2023-02-27,2023-04-13
144,27 de febrero - 13 de abril de 2023,Management & Fit[110]​,1500,28.7,27.4,23.9,6.3,3.8,3.2,6.6,3.1,1.3,2023-02-27,2023-04-13
145,27 de febrero - 13 de abril de 2023,Management & Fit[110]​,1500,30.7,26.5,23.7,6.8,3.9,3.2,5.8,2.7,4.2,2023-02-27,2023-04-13
146,27 de febrero - 13 de abril de 2023,Management & Fit[110]​,1500,21.9,22.2,14.3,6.8,4.9,3.2,0.0,27.0,0.3,2023-02-27,2023-04-13
