,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32,5.595656394958496,0.08983398502559987,0.5690577824910482,0.0699603475422595,30,0.0633421052631579,"{'epochs': 30, 'optimizer__learning_rate': 0.0633421052631579}",-2.292411598557041,-2.3615282038910284,-2.2167419078474926,-2.2902272367651872,0.05912893514927006,368
33,5.475554466247559,0.06889234255011809,0.5491093794504801,0.033952431636115804,30,0.06857894736842104,"{'epochs': 30, 'optimizer__learning_rate': 0.06857894736842104}",-2.5882714082081955,-2.1585039166998534,-2.228529621432041,-2.32510164878003,0.18827221699606267,373
34,5.344192345937093,0.13927080413700008,0.6320733229319254,0.04607830828858719,30,0.07381578947368421,"{'epochs': 30, 'optimizer__learning_rate': 0.07381578947368421}",-2.5794335117573763,-2.2732452920542014,-2.2186873569246695,-2.3571220535787494,0.15876802868657197,378
35,6.137335856755574,1.1242615822900281,0.5546344916025797,0.06673702173452442,30,0.07905263157894737,"{'epochs': 30, 'optimizer__learning_rate': 0.07905263157894737}",-2.147784873721025,-2.2245857294325715,-2.2383611715198,-2.2035772582244655,0.039849996466829254,361
36,5.143654743830363,0.025335279787819975,0.574851910273234,0.10140883147091673,30,0.08428947368421053,"{'epochs': 30, 'optimizer__learning_rate': 0.08428947368421053}",-2.156247795156539,-2.395723407201129,-2.2030478656317616,-2.251673022663143,0.10363540776291233,364
37,5.183015823364258,0.023862229037536983,0.6184983253479004,0.09137849590639195,30,0.08952631578947368,"{'epochs': 30, 'optimizer__learning_rate': 0.08952631578947368}",-2.0434275499628884,-2.4404475202408333,-2.4362767449429037,-2.3067172717155415,0.18618173384641987,371
38,5.5581473509470625,0.2026990989918591,0.691927433013916,0.07599489742136782,30,0.09476315789473684,"{'epochs': 30, 'optimizer__learning_rate': 0.09476315789473684}",-2.3249499150406057,-2.351063786446733,-2.161434922403566,-2.279149541296968,0.08391675317784943,365
39,6.3796037038167315,0.9649560429689664,0.7000377972920736,0.07260680698803756,30,0.1,"{'epochs': 30, 'optimizer__learning_rate': 0.1}",-2.3054349187454255,-2.243355714837357,-2.1669470447876695,-2.238579226123484,0.05663823173828872,363
40,7.616499265034993,0.10233096964199949,0.6829013824462891,0.059201210129271195,51,0.0005,"{'epochs': 51, 'optimizer__learning_rate': 0.0005}",-1.881820523611647,-2.096246519310529,-2.1293025278448265,-2.0357898569223343,0.10970594522072177,347
41,7.9821191628774,0.08240227349727092,0.6783309777577718,0.029570206250663988,51,0.005736842105263158,"{'epochs': 51, 'optimizer__learning_rate': 0.005736842105263158}",-2.0820726350149124,-2.2427777888699003,-2.1057925585227615,-2.143547660802525,0.07083136042745179,357
42,8.276607195536295,0.07866239579822074,0.6730490525563558,0.025358467268565242,51,0.010973684210526316,"{'epochs': 51, 'optimizer__learning_rate': 0.010973684210526316}",-2.068330474981867,-1.9092389328256576,-1.8933803868687136,-1.9569832648920793,0.07900010238833712,334
43,8.259926637013754,0.16659259854288921,0.6547625859578451,0.07635059669522948,51,0.016210526315789474,"{'epochs': 51, 'optimizer__learning_rate': 0.016210526315789474}",-2.1637709900453794,-2.1249170330638867,-1.9834945717744297,-2.090727531627899,0.07746650137309537,354
44,8.080341895421347,0.11273170373758007,0.6237733364105225,0.030884094152574898,51,0.02144736842105263,"{'epochs': 51, 'optimizer__learning_rate': 0.02144736842105263}",-1.9682903465995287,-2.2476044110134255,-1.7603888249305562,-1.9920945275145037,0.1996158579243194,343
